ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis
Lipenšči hrib,Julijske Alpe, 1375,"46,354°N","13,9572°E", vrh, 220564, 52% ,1295. mesto,1,0,"Lipenšči hrib je manj izrazit, a razmeroma razgleden vrh sredi pokljuških gozdov. Z vrha, na katerem stoji lovska opazovalnica, se nam odpre lep razgled na vrhove, ki se dvigujejo med Pokljuko in Krmo, lepo pa se vidita tudi Triglav in Rjavina. Z vrha se nam odpre nekaj razgleda tudi na Karavanke in Kamniško Savinjske Alpe, proti jugu pa razgled ovira gozd."

Mali Karman / Monte Cuarnan,Julijske Alpe, 1372,"46,2787°N","13,1866°E", , 198377, 49% ,1385. mesto,1,0,"Mali Karman je prva izrazitejša vzpetina na skrajnem jugozahodnem delu predgorja Julijskih Alp. Leži vzporedno z glavnim grebenom Velikega Karmana kot docela samostojna gmota, veže ju zgolj sedlo Predol. Na vzhodu je potok Vedronza mednju vrezal globoko dolino. Sicer pa kljub na videz skromni višini Mali Karman le ni tako pohleven. Več kot 1100 metrov visoko se dviga nad Furlansko nižino v obliki travnate piramide, zaradi česar zagotavlja svojevrsten razgled po okolici. Le na severni strani je nekoliko okrnjen, saj ga zastira višji in tudi precej mogočnejši Veliki Karman, katerega greben je od tod videti precej impresiven. Zaradi izpostavljene lege na pobočjih Malega Karmana uspeva pestra vegetacija, med njimi tudi nekaj endemičnih vrst. Na vrhu stoji kapela, posvečena odrešeniku (Il Redentore), ki so jo zgradili leta 1908, vendar že davno ni več prvotna. Dvajset let po nastanku jo je poškodovala strela, povsem uničena pa je bila po potresu leta 1976. Na vršno teme nižjega od obeh Karmanov z vseh strani vodi več poti, tako da mu ne manjka obiska. Še več: ne čislajo ga zgolj pohodniki, pač pa tudi ali predvsem gorski kolesarji in navsezadnje jadralni padalci."

Javor (nad Tolminskimi Ravnami),Julijske Alpe, 1363,"46,234°N","13,7592°E", vrh, 1110, 18% ,2234. mesto,3,0,"Javor je 1363 metrov visok vrh, ki se nahaja med Tolminskimi Ravnami in Grušnico. Z vrha, na katerem je postavljen manjši križ, se nam odpre lep razgled na gore nad Tolminskimi Ravnami in del predalpskega hribovja."

Mrzli vrh nad planino Pretovč,Julijske Alpe, 1359,"46,2188°N","13,69596°E", vrh, 407988, 79% ,577. mesto,3,0,"Mrzli vrh je znano bojišče prve svetovne vojne. Danes je vrh poznan kot muzej na prostem, kjer si lahko ogledamo številne kaverne, jarke, obrambne položaje in podobno. <br>Z vrha, na katerem stoji križ in ob katerem se nahaja vpisna skrinjica, se nam odpre lep razgled na Krnsko skupino, vrhove nad dolino reke Tolminke, Cerkljansko in Idrijsko hribovje, Trnovski gozd, del doline reke Soče ter kolovrat in Matajur."

Planina Strehica,Julijske Alpe, 1359,"46,4876°N","13,4552°E", planina, 157106, 43% ,1546. mesto,1,0,"Planina Strehica je manj znana planine, ki se nahaja severno od Poldašnje špice. S planine, na kateri stoji nekaj koč, se nam odpre lep razgled na del Karnijskih Alp in skupino Neborjetskih gora."

Mrzli vrh (na Matajurju),Julijske Alpe, 1358,"46,20958°N","13,56234°E", vrh, 442561, 83% ,448. mesto,2,0,"Mrzli vrh je 1358 metrov visok vrh, ki se nahaja v pogorju Matajurja. Z vrha, na katerem se nahaja razgledna plošča ter vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep pogled na Julijske Alpe, dolino reke Soče in okoliško hribovje."

Črna gora,Julijske Alpe, 1350,"46,43525°N","13,91178°E"," vrh, bivak", 398634, 78% ,608. mesto,1,1,Vrh se nahaja med dolinama Kot in Vrata. Na vrhu stoji bivak z dvema ležiščema. Razgled je lep proti Kukovi špici in njenim sosednjim vrhovom v druge smeri pa ga ovira gozd.

Bivak Za Akom,Julijske Alpe, 1340,"46,45952°N","13,83833°E", bivak, 396666, 77% ,611. mesto,1,0,Bivak 3 se nahaja na poraščeni vzpetini ob robu krnice Za Akom. Od bivaka v katerem lahko prenoči 8 ljudi zaradi gozda ni lepšega razgleda. Za razgled se je vredno spustiti 5 minut na prostrana prodišča s katerih se nam odpre lep pogled na severna ostenja Martuljških gora.

Planina Za Črno goro,Julijske Alpe, 1340,"46,23846°N","13,95137°E", planina, 317081, 66% ,919. mesto,6,0,"Planina Za Črno goro (tudi Ravharska oz. ponekod Ravenska planina) je srednje velika planina, ki se nahaja pod Kontnim vrhom oz. Šoštarjem, Rušnim vrhom in pod grebenom Home. Na planini, nad katero se nahaja manjši izvir (izvir se nahaja med planino in grebenom Home, danes stoji še nekaj starih pastirskih koč, ki so v glavnem preurejene v manjše vikende. Planino obdajajo kanali, kateri so služili odvodnavanju vode, katera je ob deževju tekla v Bohinjski predor in tako ovirala železniški promet."

Orožnova koča na planini za Liscem,Julijske Alpe, 1338,"46,23587°N","13,93461°E"," koča, planina", 508855, 92% ,228. mesto,4,0,Orožnova koča se nahaja pod pobočji Črne prsti na planini za Liscem. Kočo so postavili na mestu kjer je stala prva planinska koča na ozemlju Slovenije. Od koče je lep pogled proti Triglavu in njegovim sosednjim vrhovom. Poleg koče je na planini še nekaj pastirskih stanov.

Planina Goričica,Julijske Alpe, 1336,"46,3532°N","13,54087°E", planina, 368660, 73% ,722. mesto,1,0,Planina se nahaja na robu gozda nad Bovško kotlino. Na planini stoji lovska koča. S planine je lep pogled proti goram južno od Bovške kotline.

Frčkova planina,Julijske Alpe, 1335,"46,4231°N","13,9504°E", planina, 186933, 47% ,1427. mesto,1,0,"Frčkova planina je manj znana planina, katera se nahaja pod 1369 metrov visokim Frčkovim vrhom. Na planini, s katere zaradi bližnjega gozda ni razgleda na okoliške gore, stoji osamljena koča."

Srednji vrh (na Matajurju),Julijske Alpe, 1320,"46,2088°N","13,5655°E", vrh, 290, 7% ,2505. mesto,1,0,"Srednji vrh je 1320 metrov visok travnat vrh, ki se nahaja v pogorju Matajurja. Z vrha, ki je vzletna točka jadralnih padalcev, se nam odpre lep pogled na Julijske Alpe in predalpski svet."

Planina za Šavnikom,Julijske Alpe, 1320,"46,2461°N","13,9872°E"," bivak, planina", 322010, 67% ,901. mesto,1,0,"Planina se nahaja med Šavnikom, Jelenovim vrhom in Možicem. Zaradi gozda, ki obdaja planino ni razgleda. Na planini je zasilni bivak."

Koča na planini Razor,Julijske Alpe, 1315,"46,23562°N","13,79334°E"," koča, bivak, planina", 551902, 95% ,128. mesto,5,0,"Koča se nahaja v Spodnjih Bohinjskih gorah pod Žabiškim Kukom in Rušnatim vrhom na planini Razor. Od koče, ki je odprta v poletni sezoni je lep razgled na okoliške vrhove. V času, ko je koča zaprta je v stavbi v bližini koče urejena zimska soba z desetimi ležišči."

Kota 1313,Julijske Alpe, 1313,"46,36066°N","13,57516°E", vrh, 382968, 75% ,674. mesto,1,1,"Kota 1313 je bil med prvo svetovno vojno položaj avstroogrske topniške opazovalnice. S položaja 1313, ki se nahaja ob neposredni bližini neizrazitega vrha Veliki Rob, le ta pa jugovzhodno od bolj znanega Rombona se nam odpre lep razgled na Bovško kotlino, ter vrhove, ki le to obdajajo. Ob ruševinah topniške opazovalnice, pa se nahaja tudi vpisna skrinjica."

Koča na Soriški planini,Julijske Alpe, 1306,"46,24°N","14,00737°E"," koča, planina", 498228, 90% ,260. mesto,4,0,"Koča se nahaja ob smučišču Soriška planina. Od koče je lep je razgled po planini in okoliškim vrhovom. V poletnem času se v okolici koče na Soriški planini pasejo živali, ki popestrijo dan predvsem mlajšim planincem.<br> Koča na Soriški planini pa je tudi primerno izhodišče za krajše izlete na vrhove, ki obdajajo planino."

Planina Dobrenjščica,Julijske Alpe, 1304,"46,2643°N","13,7384°E", planina, 281078, 61% ,1062. mesto,1,0,"Planina Dobrenjščica je opuščena planina, ki se nahaja na zahodnih pobočjih Tolminskega Kuka oz. Vrha Planje. S planine, na kateri stoji lovska koča, se nam odpre lep razgled na gore, ki obdajajo dolino reke Tolminke. Najlepše se vidi na nasprotno stran doline, kjer lepo vidimo planino Lašča, Rdeči rob ter Mali in Veliki Kuntar."

Lovska koča Bala,Julijske Alpe, 1300,"46,3893°N","13,652°E", , 218942, 52% ,1302. mesto,1,0,Lovska koča Bala se nahaja na manjši jasi v istoimenski dolini. Zaradi bližnjega gozda je razgled precej omejen in seže le na pobočja nad dolino Bale in Bavšice. V bližini koče je korito s pitno vodo.

Mangartska planina,Julijske Alpe, 1295,"46,4296°N","13,6089°E", planina, 2310, 23% ,2097. mesto,1,0,"Mangartska planina, tudi ovčja planina Mangrt se nahaja vzhodno od mogočnega plazu Stože ter ob oz. nad Mangartskim potokom. Do planine pripelje makadamska cesta, ki se odcepi z Mangartske ceste na višini približno 1300 metrov, ceste, ki vodi do mangartskega sedla. S planine se nam odpre lep pogled na Mangart in okoliške gore."

Črno jezero,Julijske Alpe, 1294,"46,29834°N","13,79533°E", jezero, 531241, 94% ,169. mesto,3,0,"Črno jezero je najnižje od vseh Triglavskih jezer in je tudi najtoplejše. Veliko je 150m, široko 80m in globoko 6m. Zaradi bližnjega gozda je razgled omejen, in je le proti steni Stadorja. "

Planina Zajavornik,Julijske Alpe, 1292,"46,36027°N","13,9489°E", planina, 441701, 83% ,454. mesto,1,0,"Planina Zajavornik (na zemljevidih planina Javornik) je prostrana planina, ki se nahaja v osrčju Pokljuških gozdov. S planine, na kateri stoji večje število pastirskih stanov (večina jih je predelana v vikende) se nam odpre lep razgled na Viševnik, Mali Draški vrh ter večino vrhov nad planino Lipanca."

Planina Zajamniki,Julijske Alpe, 1280,"46,3127°N","13,9344°E"," koča, planina", 538357, 94% ,149. mesto,3,0,"Planina Zajamniki leži na zahodnem robu Pokljuke, kar je razlog za čudovit razgled na Julijske Alpe. Znana je po tem, da so stanovi razpotegnjeni v ulico."

Vrh Bače,Julijske Alpe, 1273,"46,2367°N","13,9808°E", sedlo, 382324, 75% ,676. mesto,3,0,"Vrh Bače je razgledno sedlo med Primorsko in Gorenjsko. Na južni strani sedla, se nahaja prijetna lovska koča, od katere se nam odpre lep razgled na Porezen in Baško grapo pod njim. V bližini lovske koče, pa se nahaja tudi kar nekaj zanimivih vojaških bunkerjev in kasarn, ki so jih zgradili Italijani med obema svetovnima vojnama."

Galetovec,Julijske Alpe, 1265,"46,33145°N","14,03875°E", vrh, 492007, 90% ,282. mesto,11,0,"Galetovec je neizrazit vrh na jugovzhodnem delu Pokljuške planote. Z vrha, ki ima vpisno skrinjico je lep razgled na osrednje Karavanke, Jelovico, Ratitovec in del Spodnjih Bohinjskih gora. Galetovec je tudi vzletišče za padalce, z urejeno odskočno desko."

Zgornji Goreljek (Pokljuka),Julijske Alpe, 1260,"46,3358°N","13,9632°E"," koča, cerkev, planina", 2110, 22% ,2113. mesto,5,0,"Zgornji Goreljek se nahaja na Pokljuki, na delu, kjer se nahaja več počitniških koč, apartmajev, hotel Jelka in Šport hotel, Kapela sv. Antona Puščavnika, dve smučišči in sankališče, barje Goreljek..."

Planina Krnica,Julijske Alpe, 1252,"46,35243°N","13,5087°E", planina, 394446, 77% ,626. mesto,1,0,Opuščena planina se nahaja pod dolino Krnica v Kaninskem pogorju. S planine je lep pogled na bližnje stene in del Bovške kotline.

Idrska planina,Julijske Alpe, 1250,"46,21225°N","13,56509°E", planina, 274587, 60% ,1085. mesto,2,0,"Idrska planina se nahaja na vzhodnih pobočjih Matajurja pod manj znanim Mrzlim vrhom. Razdeljena je na dva dela in sicer spodnjega, kjer se nahaja pastirska koča z velikim hlevom in zgornjega, ki se nahaja nekoliko višje in na katerem stoji Konjarska guta. S planine pa je lep razgled na Krnsko skupino Julijskih Alp."

Planina Zgornja Grintovica,Julijske Alpe, 1250,"46,32841°N","13,86507°E", planina, 371449, 74% ,713. mesto,2,0,"Planina Zgornja Grintovica je malo obiskana planina, ki se nahaja med planino Krstenico in planino Spodnjo Grintovico. S planine, na kateri se nahaja nekaj pastirskih stanov, se nam odpre lep razgled na del gora, ki obdajajo dolino Voje."

Turn (nad Bohinjsko Belo),Julijske Alpe, 1249,"46,3392°N","14,0366°E", vrh, 1180, 18% ,2224. mesto,5,0,"Turn je razgleden ter prepaden vrh, ki se nahaja nad Bohinjsko Belo. Z vrha se nam odpre lep pogled na Ratitovec, Jelovico, Kamniško Savinjske Alpe ter del Karavank."

Planina Zagreben,Julijske Alpe, 1240,"46,29848°N","13,65017°E", planina, 472, 11% ,2412. mesto,1,0,Planina Zagreben se nahaja na severnih pobočjih nad dolino Lepena. Planina je opuščena in precej zaraščena. Na vrhu planine ob robu gozda pa se nahaja lovska koča. Planina je poznana tudi po bližnjih bojiščih iz prve svetovne vojne.

Belska planina,Julijske Alpe, 1237,"46,3367°N","14,0224°E", planina, 1490, 20% ,2179. mesto,4,0,"Belska planina je ena od planin na Pokljuki, nahaja pa se med Kokošinjco (1393 m) in Plešo (1331 m). Na planini stoji več koč, nekatere so pastirske, večina pa jih je preurejenih v vikende."

Izvir Nadiže,Julijske Alpe, 1232,"46,4484°N","13,707°E", slap, 1390, 19% ,2197. mesto,1,0,"Izvir Nadiže je prvi izvir Save Dolinke. Potok izvira iz ostenja Rateških Ponc ter na samem začetku drsi preko 10 metrskega slapu, nato pa po približno 300 metrih ponikne. Od slapu se nam odpre lep pogled na drugo stran doline Tamar, kjer lepo vidimo Slemenovo špico, Mojstrovke in ostale okoliške gore."

Planina Leskovca,Julijske Alpe, 1230,"46,24888°N","13,67888°E", planina, 361408, 72% ,750. mesto,1,0,Planina se nahaja v Krnskem pogorju pod jezerom v Lužnici. Na planini se nahaja tudi opuščena stavba. V poletnem času je na planini zelo veliko kopriv.

Koča na Gozdu,Julijske Alpe, 1226,"46,43964°N","13,76252°E", koča, 460626, 86% ,379. mesto,1,0,"Koča, ki se nahaja ob Vršiški cesti ima lep razgled na Špik in Škrlatico. Ob koči je veliko parkirišče."

Bivak Hlek,Julijske Alpe, 1225,"46,26671°N","13,51519°E", bivak, 307462, 65% ,959. mesto,2,0,"Bivak Hlek se nahaja na vzhodnih pobočjih Kobariškega Stola. V notranjosti bivaka sta dva prostora, spodnji v katerem je peč, miza in nekaj klopi ter zgornji na podstrešju, kjer je nekaj ležišč. Od bivaka pa je lep pogled na bližnji Matajur."

Spodnji Goreljek (Pokljuka),Julijske Alpe, 1222,"46,3304°N","13,9821°E", planina, 1550, 20% ,2165. mesto,1,0,"Spodnji Goreljek je naselje in planina na Pokljuki, ki se nahaja severno od naselja Koprivnik v Bohinju."

Italijanska vojaška kapela na Planici,Julijske Alpe, 1220,"46,2427°N","13,6428°E", cerkev, 260425, 58% ,1140. mesto,2,0,"Italijanska vojaška kapela na Planici (tudi kapela Bes), se nahaja nad manjšo pečino med Planico in Plečami. Od kapele se nam odpre lep razgled na okoliško hribovje in delu doline reke Soče."

Svinska planina,Julijske Alpe, 1214,"46,21896°N","13,55144°E", planina, 302664, 64% ,975. mesto,1,0,Svinska planina ali planina Svino se nahaja jugozahodno od Kobarida na pobočjih Matajurja. Na planini s katere je lep razgled na Julijske Alpe v poletnem času pasejo živino.

Škrbina (Mežakla),Julijske Alpe, 1210,"46,42439°N","14,04422°E", vrh, 333502, 68% ,862. mesto,2,0,"Škrbina je prehod na planoti Mežakla med Zakop-om in Planskim vrhom, bolj znana po lepi razgledni točki v njeni neposredni bližini, kjer se nahaja tv-oddajnik Mežakla. Domačini zaradi njegovega izgleda iz doline (podoben konjici), temu izpostavljenemu skalnemu robu pravijo tudi ""Špik"". Od tu se ponujajo čudoviti razgledi v dolino na mesto Jesenice in njegovo okolico, ter široka panorama zahodnih Karavank od Begunjščice do Kepe.
<br>"

Planina Zaprikraj,Julijske Alpe, 1208,"46,28773°N","13,62328°E", planina, 384966, 76% ,663. mesto,1,0,"Planina se nahaja pod pobočji grebena Krnčice, ki se začne s Kalom (1700m)in konča s stopnjo višjim Krnom. Ker planino obdajajo travnata pobočja je v poletnem času primerna za pašo živali, ki jo je tu res veliko."

Lovčev bivak Pri Koucah,Julijske Alpe, 1192,"46,2306°N","13,9959°E", , 216601, 52% ,1312. mesto,1,0,"Lovčev bivak Pri Koucah je neke vrste lovska koča (ne služi kot bivak), ki se nahaja na manjši izravnavi, na sicer strmih jugozahodnih pobočjih Slatnika in Lajnarja. Ker je v bližini koče gozd, se nam odpre razgled le na pobočja že prej omenjenih vrhov."

Police,Julijske Alpe, 1184,"46,4016°N","14,0128°E", vrh, 1257, 18% ,2216. mesto,1,0,"Nekateri izmed številnih vrhov planote Mežakla, ki pripada Julijskim Alpam, so zanimivi kot razgledniki. Eden teh je vsekakor vrh Police z višino 1184 m, ki se nahaja na južnem robu planote, zahodno od vasice Perniki. Predvsem v pomladnem in poznojesenskem času se nam s tega skalnatega vrha ponujajo lepi razgledi na več strani. Na zahodu gledamo v del Julijcev od Kukove špice do Škrlatice, na severu v Karavanke od Kurjekov do Stola, na jugu prek Pokljuške stene Gabrje proti Bohinjskim hribom s Črno prstjo in Rodico, ter proti Ratitovcu. Lep pogled se nam ponudi tudi v dolino Radovna, na vasico Perniki in Krnico z delom Gorij, ter na samo planoto Mežakla s planino Ravne in njenimi vrhovi - Petelinom, Oblekom in Jerebikovcem."

Planina Bala,Julijske Alpe, 1181,"46,3802°N","13,6375°E", planina, 248098, 56% ,1191. mesto,1,0,"Planina Bala je opuščena planina, ki se nahaja severovzhodno od Bavšice. S planine, na kateri stojita manjši Marijin kipec in križ, se nam odpre lep razgled na okoliške vrhove."

Planina Spodnja Grintovica,Julijske Alpe, 1175,"46,33191°N","13,86584°E", planina, 356548, 72% ,768. mesto,2,0,"Planina Spodnja Grintovica je manjša opuščena planina, ki se nahaja nad dolino Voje. S planine, na kateri se nahaja manjši studeček, se nam odpre lep razgled le proti Toscu, saj na ostale strani razgled ovira gozd."

Planina Ilovec,Julijske Alpe, 1170,"46,3295°N","14,0333°E", planina, 492, 11% ,2404. mesto,1,0,"Planina Ilovec je dokaj razgledna planina, ki se nahaja na pobočjih Ilovca in Galetovca. Z zgornjega dela planine se nam odpre lep pogled na gore nad desnim bregom reke Save Bohinjke."

Planina Pretovč,Julijske Alpe, 1160,"46,22563°N","13,6942°E"," sedlo, planina", 250001, 56% ,1184. mesto,2,0,"Planina Pretovč je še vedno živa planina, ki se nahaja med Visoč vrhom in Mrzlim vrhom. S planine, kjer je v pašni sezoni možno dobiti kislo mleko ali kaj podobnega, se nam odpre lep razgled na Matajur, Krn, Batognico in vrhove nad dolino reke Tolminke."

Bivak na Črniku,Julijske Alpe, 1160,"46,26463°N","13,64347°E", bivak, 253604, 57% ,1168. mesto,1,0,"Bivak na Črniku se nahaja zahodno od mogočnega Krna ob spodnjem delu poti Silva Korena. Ker bivak obdaja gozd ni razgleda nam pa nudi prijetno zavetje v primeru nevihte. V bivaku ni postelj, ima pa klop in mizo ter nekaj odej."
